Date,Title ,URL,Body,Location,Likes,Comment,Username
9/8/2022,"uniform check, Madrasah Ibtidaiyah YAPINK 01 #santri ...",https://www.tiktok.com/@santriyapink/video/7140807428953689370,"804 Likes, 70 Comments. TikTok video from Santri Yapink (@santriyapink): ""uniform check, Madrasah Ibtidaiyah YAPINK 01 #santri #miyapink01",Tambun,804,70,@santriyapink
9/24/2022,backdrop #haflah #wisuda #lembagapendidikan #madrasah,https://www.tiktok.com/@galeriindografis/video/7097820028359298330,"TikTok video from Galeri Indografis (@galeriindografis): ""#backdrop #haflah #wisuda #lembagapendidikan #madrasah"". original sound - HELMI WICAKS",Jakarta,5,0,@galeriindografis
8/2/2022,MADRASAH IBTIDAIYAH BERSHOLAWAT HABIB BALIA AL ...,https://www.tiktok.com/@nurhamim96/video/7109420621859228955,"72 Likes, 21 Comments. TikTok video from Nur Hamim201 (@nurhamim96): ""MADRASAH IBTIDAIYAH BERSHOLAWAT HABIB BALIA AL-KAFF feat",Bekasi,72,21,@nurhamim96
8/6/2022,Proses Akreditasi Madrasah Tsanawiyah Arifah - TikTok,https://www.tiktok.com/@muhrifqi9/video/6988505888579390746,"TikTok video from Muh Rifqi9455 (@muhrifqi9): ""Proses Akreditasi Madrasah Tsanawiyah Arifah"". Proses Akreditasi Madrasah Tsanawiyah ArifahWay",Makassar,4,0,@muhrifqi9
8/8/2022,yel2 sangga Kartini..#pramuka #14agustus#madrasah#ma,https://www.tiktok.com/@abdoel1312/video/7129532504284990747,"2.9K Likes, TikTok video from abDoel (@abdoel1312): ""yel2 sangga Kartini..#pramuka #14agustus#madrasah#ma"". yel2 kartinisangga Kartini |",,2912,13,@abdoel1312
7/17/2022,"MAN 1 Kolaka, Madrasah Mandiri Berprestasi - TikTok",https://www.tiktok.com/@supardi_93/video/7121503104100584730,"1.9K Views, 86 Likes, TikTok video from Supardi (@supardi_93): ""MAN 1 Kolaka, Madrasah Mandiri Berprestasi #man1kolaka #kolaka #jgnpelitfyp",Kolaka,82,2,@supardi_93
7/3/2022,hiburan anak madrasah dari ciandam sudajaya Sukabumi,https://www.tiktok.com/@lathief12/video/7116103881477672218,"337 Likes, TikTok video from lathief12 (@lathief12): ""hiburan anak madrasah dari ciandam sudajaya Sukabumi ###"". CIANDAM SUKABUMI .",Sukabumi,337,0,@lathief12
6/9/2022,#madrasah #mts1jeneponto | TikTok,https://www.tiktok.com/@sfraa_15/video/7107423871590010139,"TikTok video from Safiraa (@sfraa_15): ""#madrasah #mts1jeneponto"". suara asli - Safiraa.",Sulawesi Selatan,14,0,@sfraa_15
5/11/2022,Suasana Ujian Madrasah Hari Ke 3 MTs Arifah Gowa ... - TikTok,https://www.tiktok.com/@pakgurumadrasah/video/7096265552104066330,"78 Likes, TikTok video from HaMBaLi(A) (@pakgurumadrasah): ""Suasana Ujian Madrasah Hari Ke 3 MTs Arifah Gowa #Ruangan1 #fyp"".",Makassar,84,7,@mr.h.mpd
4/7/2022,Cara nulis CV untuk lulusan Madrasah Aliyah (MA ... - TikTok,https://www.tiktok.com/@aprirokh_/video/7083819553234455834,"24.9K Likes, 115 Comments. TikTok video from APRI ROKH (@aprirokh_): ""Cara nulis CV untuk lulusan Madrasah Aliyah (MA) nih guys.. semoga",,24900,115,@aprirokh_
4/4/2022,Kunjungan UAI Ke madrasah - #ustazmadkecik - TikTok,https://www.tiktok.com/@madrasah_ustaz_mad_kecik/video/7082922582743321882,"34.3K Likes, 167 Comments. TikTok video from Madrasah Ustaz Mad Kecik (@madrasah_ustaz_mad_kecik): ""Kunjungan UAI Ke madrasah",Malaysia,34300,167,@madrasah_ustaz_mad_kecik
